name,category,symptoms,description,treatments,precautions,severity
Common Cold,respiratory,"runny nose, sore throat, cough, sneezing, mild fever","Viral infection of the upper respiratory tract","Rest, hydration, over-the-counter cold medicine","Wash hands regularly, avoid close contact with sick people",low
Influenza,fever,"high fever, body aches, fatigue, cough, headache","Viral infection affecting the respiratory system","Antiviral medication, rest, fluids","Annual flu vaccination, good hygiene",medium
Pneumonia,respiratory,"cough with phlegm, fever, chills, difficulty breathing","Infection that inflames air sacs in one or both lungs","Antibiotics, rest, hydration","Vaccination, good hygiene, avoid smoking",high
Dengue Fever,fever,"high fever, severe headache, pain behind eyes, muscle and joint pain","Mosquito-borne viral infection","Rest, hydration, pain relievers","Mosquito control, use of mosquito nets",high
Malaria,fever,"fever, chills, headache, nausea, vomiting","Parasitic disease transmitted by mosquitoes","Antimalarial drugs","Mosquito nets, insect repellent, prophylactic medication",high
Eczema,skin,"itchy, inflamed skin, redness, dry patches","Chronic skin condition causing itchy, inflamed skin","Moisturizers, topical steroids, antihistamines","Avoid triggers, keep skin moisturized",low
Acne,skin,"pimples, blackheads, whiteheads, oily skin","Skin condition when hair follicles are clogged with oil and dead skin","Topical treatments, oral medications, lifestyle changes","Regular cleansing, avoid touching face",low
Psoriasis,skin,"red patches, silvery scales, itching, burning","Autoimmune condition that speeds up skin cell growth","Topical treatments, light therapy, systemic medications","Manage stress, avoid triggers",medium
Diabetes,chronic,"increased thirst, frequent urination, fatigue, blurred vision","Chronic condition affecting how body processes blood sugar","Insulin, oral medications, diet control","Healthy diet, regular exercise, weight management",high
Hypertension,chronic,"headaches, shortness of breath, nosebleeds, dizziness","High blood pressure condition","Blood pressure medication, lifestyle changes","Low-salt diet, regular exercise, stress management",high
Anxiety,mental,"excessive worry, restlessness, difficulty concentrating, irritability","Mental health disorder characterized by excessive anxiety","Therapy, medication, relaxation techniques","Regular exercise, mindfulness, adequate sleep",medium
Depression,mental,"persistent sadness, loss of interest, fatigue, changes in appetite","Mood disorder causing persistent sadness and loss of interest","Therapy, antidepressants, lifestyle changes","Regular exercise, social support, healthy diet",medium
Asthma,respiratory,"wheezing, shortness of breath, chest tightness, coughing","Chronic respiratory condition causing breathing difficulties","Inhalers, corticosteroids, avoiding triggers","Avoid allergens, regular medication",medium
Bronchitis,respiratory,"cough with mucus, fatigue, shortness of breath, slight fever","Inflammation of the lining of bronchial tubes","Rest, fluids, cough medicine, humidifier","Avoid smoking, wash hands, get vaccinated",low